COMMON FISH NAME,Temperament,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Typical Color,Community Suitability,Water PH,Temperature Range,Origin,CB's Recommended Fish Food,Scientific Name,QR,SKU
Shrimp Amano,Peaceful,2 Inches,3 gal,2-3 yrs,No,Translucent tan/grey with dashed side stripe,"Excellent - hardy peaceful algae eater, safe with all community fish",6.8-7.2,72-80°F,Japan / Taiwan,"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Caridina multidentata,https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Amano.html,517205J
Shrimp Black Crystal,Peaceful,1-1.5 Inches,1 Gallon,1-2 yrs,No,Black and white banded,"Best in species-only/peaceful nano; sensitive to water params, avoid larger fish",6.8-7.2,72-80°F,"Selectively bred (orig. Guangdong, China)","Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Caridina cantonensis (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Black Crystal.html,SH02
Shrimp Bloody Mary,Peaceful,1-1.5 Inches,1 Gallon,1-2 yrs,No,Deep blood red,"Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Bloody Mary.html,711122N
Shrimp Blue Velvet,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,Deep velvet blue,"Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Blue Velvet.html,SH03
Shrimp Cherry,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,Red (pale to fire red),"Excellent - most popular beginner shrimp, safe with all peaceful community fish",6.8-7.2,72-80°F,Taiwan,"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi,https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Cherry.html,1080
Shrimp Fire Red,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,"Solid, opaque, deep crimson body","Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Fire Red.html,478891T
Shrimp Giant Bluewood,Peaceful,2 Inches,5 gal,1-2 yrs,No,Deep blue,"Excellent - larger, hardy color strain, good for community tanks",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (large bred strain),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Giant Bluewood.html,SH01
Shrimp Golden,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,Golden yellow,"Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Golden.html,487414Y
Shrimp Green,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,Jade/apple green,"Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Green.html,6321170
Shrimp Ocean Blue,Peaceful,1.5 Inches,1 Gallon,1-2 yrs,No,Saturated ocean blue,"Excellent - peaceful, great beginner community shrimp",6.8-7.2,72-80°F,Selectively bred (orig. Taiwan/China),"Liquid Gardens Shrimp Pellets, Sera Shrimp Granuals, Detritus",Neocaridina davidi (bred),https://bubba751.github.io/Freshwater-Inverts-HTML-Files/Shrimp Ocean Blue.html,S574958
